SKU,Titulo,Fabricante,Categoria,Disponibilidade,Preco,Preço Oferta,URL
2532,Café Torrado e Moído Superior Aviação 500g,Aviação,Mercearia,Disponivel,54.98,54.98,https://www.mambo.com.br/cafe-superior-moido-aviacao-500g/p
2533,Café Torrado e Moído 252 Graus a Vácuo Pilão 500g,Pilão,Mercearia,Disponivel,43.49,43.49,https://www.mambo.com.br/cafe-torrado-e-moido-252-graus-a-vacuo-pilao-500g/p
2534,Café Torrado e Moído 252° Graus Abre & Fecha Pilão Sachê 500g,Pilão,Mercearia,Disponivel,43.49,43.49,https://www.mambo.com.br/cafe-torrado-e-moido-252--graus-abre---fecha-pilao-sache-500g/p
2536,Café Torrado e Moído a Vácuo Tradicional 3 Corações Pacote 500g,3 Corações,Mercearia,Disponivel,27.99,27.99,https://www.mambo.com.br/cafe-torrado-e-moido-a-vacuo-tradicional-3-coracoes-pacote-500g/p
2537,Cápsula de Café Aqtivus 8 Delta 55g com 10 Unidades,Delta Q,Mercearia,Disponivel,28.49,28.49,https://www.mambo.com.br/cafe-aqtivus-8-delta-55g-com-10-capsulas/p
2538,Café Torrado e Moído Aromatizado Amêndoas Torradas Floresta 100g,Floresta,Mercearia,Disponivel,19.98,19.98,https://www.mambo.com.br/cafe-aromatizado-amendoas-torradas-floresta-100g/p
2539,Café Torrado e Moído Aromatizado Baunilha com Nozes Floresta 100g,Floresta,Mercearia,Disponivel,19.98,19.98,https://www.mambo.com.br/cafe-aromatizado-baunilha-com-nozes-floresta-100g/p
2541,Café Torrado e Moído Aromatizado Crème Brulée Floresta 100g,Floresta,Mercearia,Disponivel,19.98,19.98,https://www.mambo.com.br/cafe-aromatizado-creme-brulee-floresta-100g/p
2542,Café Torrado e Moído Aromatizado Trufas com Chocolate Floresta 100g,Floresta,Mercearia,Disponivel,19.98,19.98,https://www.mambo.com.br/cafe-aromatizado-trufas-com-chocolate-floresta-100g/p
2543,Cápsula de Café Barítono Bravo 50g com 10 Unidades,Bravo Café,Mercearia,Disponivel,23.98,23.98,https://www.mambo.com.br/cafe-baritono-bravo-50g-com-10-capsulas/p
2545,Cápsula de Café Blonde Espresso Roast Starbucks & Nespresso com 10 Unidades,Nescafé,Mercearia,Disponivel,32.98,32.98,https://www.mambo.com.br/cafe-blonde-espresso-roast-starbucks-by-nespresso-com-10-capsulas/p
2545,Cápsula de Café Blonde Espresso Roast Starbucks & Nespresso com 10 Unidades,Nescafé,Mercearia,Disponivel,32.98,32.98,https://www.mambo.com.br/cafe-blonde-espresso-roast-starbucks-by-nespresso-com-10-capsulas/p
2546,Café Torrado e Moído Bourbon Amarelo Varietais Orfeu 250g,Orfeu,Mercearia,Disponivel,42.49,42.49,https://www.mambo.com.br/cafe-torrado-e-moido-bourbon-amarelo-varietais-orfeu-250g/p
2547,Cápsula de Café Bourbon Amarelo Orfeu 50g com 10 Unidades,Orfeu,Mercearia,Disponivel,26.99,26.99,https://www.mambo.com.br/cafe-bourbon-amarelo-orfeu-50g-com-10-capsulas/p
2555,Cápsula de Café Clássico Orfeu 50g com 10 Unidades,Orfeu,Mercearia,Disponivel,26.99,26.99,https://www.mambo.com.br/cafe-classico-orfeu-50g-com-10-capsulas/p
2556,Cápsula de Café Single-Origin Colombia Nespresso Starbucks 57g com 10 Unidades,Nescafé,Mercearia,Disponivel,32.98,32.98,https://www.mambo.com.br/capsula-de-cafe-single-origin-colombia-nespresso-starbucks-57g-com-10-unidades/p
2557,Cápsula de Café com Cacau Italle 25g com 10 Unidades,Italle,Mercearia,Disponivel,18.99,18.99,https://www.mambo.com.br/cafe-com-cacau-italle-25g-10-capsulas/p
2559,Cápsula de Café Com Leite Tres 3 Corações 90g com 10 Unidades,3 Corações,Mercearia,Disponivel,17.98,17.98,https://www.mambo.com.br/capsula-de-cafe-com-leite-tres-3-coracoes-90g-com-10-unidades/p
2561,Cápsula de Café Baileys Supremo Macchiato Tres 3 Corações 110g com 10 Unidades,3 Corações,Mercearia,Disponivel,17.98,17.98,https://www.mambo.com.br/capsula-baileys-supremo-macchiato-3-coracoes-10-unid/p
2568,Cápsula de Café Espresso Forza Tres 3 Corações 80g com 10 Unidades,3 Corações,Mercearia,Disponivel,17.98,17.98,https://www.mambo.com.br/capsula-de-cafe-espresso-forza-tres-3-coracoes-80g-com-10-unidades/p
2572,Café Torrado e Moído Descafeinado a Vácuo 3 Corações 250g,3 Corações,Mercearia,Disponivel,40.98,40.98,https://www.mambo.com.br/cafe-torrado-e-moido-descafeinado-a-vacuo-3-coracoes-250g/p
2573,Café Torrado e Moído Descafeinado Melitta 250g,Melitta,Mercearia,Disponivel,40.98,40.98,https://www.mambo.com.br/cafe-torrado-e-moido-descafeinado-melitta-250g/p
2575,Café Torrado e Moído Descafeínado a Vácuo Pilão 250g,Pilão,Mercearia,Disponivel,40.98,40.98,https://www.mambo.com.br/cafe-torrado-e-moido-descafeinado-a-vacuo-pilao-250g/p
2578,Cápsula de Café Bourbon Amarelo Orfeu 50g com 10 Unidades,Orfeu,Mercearia,Disponivel,29.99,29.99,https://www.mambo.com.br/capsula-de-cafe-bourbon-amarelo-orfeu-50g-10-unidades/p
2579,Cápsula de Café Clássico Orfeu 90g com 10 Unidades,Orfeu,Mercearia,Disponivel,29.99,29.99,https://www.mambo.com.br/capsula-de-cafe-classico-orfeu-90g-10-unidades/p
2582,Cápsula de Café Intenso Orfeu 90g com 10 Unidades,Orfeu,Mercearia,Disponivel,29.99,29.99,https://www.mambo.com.br/capsula-de-cafe-intenso-orfeu-90g-10-unidades/p
2583,Cápsula de Café Orgânico Orfeu 90g com 10 Unidades,Orfeu,Mercearia,Disponivel,36.98,36.98,https://www.mambo.com.br/capsula-de-cafe-organico-orfeu-90g-10-unidades/p
2585,Cápsula de Café Torrado e Moído Clássico Espresso Illy Caixa 57g com 10 Unidades,Illy,Mercearia,Disponivel,24.99,24.99,https://www.mambo.com.br/capsula-de-cafe-torrado-e-moido-classico-espresso-illy-57g-10-unidades/p
2587,Cápsula de Café Forte Espresso Illy Caixa 57g com 10 Unidades,Illy,Mercearia,Disponivel,24.99,24.99,https://www.mambo.com.br/capsula-de-cafe-forte-espresso-illy-57g-10-unidades/p
2589,Cápsula de Café Intenso Espresso Illy Caixa 57g com 10 Unidades,Illy,Mercearia,Disponivel,24.99,24.99,https://www.mambo.com.br/capsula-de-cafe-intenso-espresso-illy-57g-10-unidades/p
2595,Café em Grãos Classico Illy Blend 250g,Illy,Mercearia,Disponivel,48.98,48.98,https://www.mambo.com.br/cafe-em-graos-torra-media-illy-250g/p
2596,Cápsula de Café Epiq Intensidade 14 Delta Q 55g com 10 Unidades,Delta Q,Mercearia,Disponivel,28.49,28.49,https://www.mambo.com.br/cafe-epiq-intensidade-14-delta-q-55g-com-10-capsulas/p
2597,Café Torrado e Moído Especial a Vácuo Melitta 500g,Melitta,Mercearia,Disponivel,56.98,56.98,https://www.mambo.com.br/cafe-torrado-e-moido-especial-a-vacuo-melitta-500g/p
2598,Café em Cápsulas de Torrado e moído Pilão Fortíssimo 10 - 52g com 10 Cápsulas,Pilão,Mercearia,Disponivel,25.49,25.49,https://www.mambo.com.br/cafe-em-capsulas-de-torrado-e-moido-pilao-fortissimo-10---52g-com-10-capsulas/p
2599,Café em Cápsula Torrado e Moído Espresso Extraforte Pilão Caixa 52g 10 Unidades,Pilão,Mercearia,Disponivel,25.49,25.49,https://www.mambo.com.br/cafe-em-capsula-torrado-e-moido-espresso-extraforte-pilao-caixa-52g-10-unidades/p
2600,Café em Cápsulas de Torrado e moído Pilão Tradicional 07 52g com 10 Cápsulas ,Pilão,Mercearia,Disponivel,25.49,25.49,https://www.mambo.com.br/capsula-de-cafe-espresso-07-pilao-52g-com-10-unidade/p
2601,Cápsula de Café Espresso Ameno Tres 3 Corações 80g com 10 Unidades,3 Corações,Mercearia,Disponivel,17.98,17.98,https://www.mambo.com.br/capsula-de-cafe-espresso-ameno-tres-3-coracoes-80g-com-10-unidades/p
2602,Cápsula de Café Espresso Atento Tres 3 Corações 80g com 10 Unidades,3 Corações,Mercearia,Disponivel,17.98,17.98,https://www.mambo.com.br/capsula-de-cafe-espresso-atento-tres-3-coracoes-80g-com-10-unidades/p
2604,Cápsula de Café Espresso Colombia L'or 52g com 10 Unidades,Lor,Mercearia,Disponivel,30.98,30.98,https://www.mambo.com.br/cafe-espresso-colombia-lor-52g-com-10-capsulas/p
2605,Cápsula de Café Descafeinado Tres 3 Corações 80g com 10 Unidades,3 Corações,Mercearia,Disponivel,17.98,17.98,https://www.mambo.com.br/capsula-de-cafe-descafeinado-tres-3-coracoes-80g-com-10-unidades/p
2606,Cápsula de Café Espresso Forza L'or 52 com 10 Unidades,Lor,Mercearia,Disponivel,30.98,30.98,https://www.mambo.com.br/cafe-espresso-forza-lor-52-com-10-capsulas/p
2607,Café em Grãos Espresso Gourmet Ituano 1kg,Ituano,Mercearia,Disponivel,119.98,119.98,https://www.mambo.com.br/cafe-em-graos-espresso-gourmet-ituano-1kg/p
2608,Café em Grãos Espresso Intenso Evolutto 1kg,Evolutto,Mercearia,Disponivel,132.98,132.98,https://www.mambo.com.br/cafe-em-graos-espresso-intenso-evolutto-1kg/p
2609,Cápsula de Café Espresso Lungo Estremo L'or 52g com 10 Unidades,Lor,Mercearia,Disponivel,30.98,30.98,https://www.mambo.com.br/cafe-espresso-lungo-estremo-lor-52g-com-10-capsulas/p
2611,Cápsula de Café Espresso Onyx L'or 52g com 10 Unidades,Lor,Mercearia,Disponivel,30.98,30.98,https://www.mambo.com.br/cafe-espresso-onyx-lor-52g-com-10-capsulas-de-aluminio/p
2613,Cápsula de Café Espresso Pleno Tres 3 Corações 80g com 10 Unidades,3 Corações,Mercearia,Disponivel,17.98,17.98,https://www.mambo.com.br/capsula-de-cafe-espresso-pleno-tres-3-coracoes-80g-com-10-unidades/p
2614,Cápsula de Café Espresso Ristretto Descafeinado L'or 52g com 10 Unidades,Lor,Mercearia,Disponivel,30.98,30.98,https://www.mambo.com.br/cafe-espresso-ristretto-descafeinado-lor-52g-com-10-capsulas-de-aluminio/p
2616,Cápsula de Café Espresso Ristretto L'or 52g com 10 Unidades,Lor,Mercearia,Disponivel,30.98,30.98,https://www.mambo.com.br/cafe-espresso-ristretto-lor-52g-com-10-capsulas/p
2619,Cápsula de Café Espresso Select Orgânico Native 50g com 10 Unidades,Native,Mercearia,Disponivel,29.98,29.98,https://www.mambo.com.br/capsula-de-cafe-espresso-select-organico-native-50g-com-10-unidades/p
2620,Cápsula de Café Espresso Sontuoso L'or 52g com 10 Unidades,Lor,Mercearia,Disponivel,30.98,30.98,https://www.mambo.com.br/cafe-espresso-sontuoso-lor-52g-com-10-capsulas-de-aluminio/p
2622,Café em Grãos Espresso Superior Ituano 1kg,Ituano,Mercearia,Disponivel,115.98,115.98,https://www.mambo.com.br/cafe-em-graos-espresso-superior-ituano-1kg/p
2623,Cápsula de Café Espresso Supremo Tres 3 Corações 80g com 10 Unidades,3 Corações,Mercearia,Disponivel,17.98,17.98,https://www.mambo.com.br/capsula-de-cafe-espresso-supremo-tres-3-coracoes-80g-com-10-unidades/p
2625,Cápsula de Café Espresso Vibrante Tres 3 Corações 80g com 10 Unidades,3 Corações,Mercearia,Disponivel,17.98,17.98,https://www.mambo.com.br/capsula-de-cafe-espresso-vibrante-tres-3-coracoes-80g-com-10-unidades/p
2631,Cápsula de Café Expresso em Cápsula Guatemala L'or 52g com 10 Unidades,Lor,Mercearia,Disponivel,30.98,30.98,https://www.mambo.com.br/cafe-expresso-em-capsula-guatemala-lor-52g-10-unidades/p
2633,Cápsula de Café Expresso Índia L'or 52g com 10 Unidades,Lor,Mercearia,Disponivel,30.98,30.98,https://www.mambo.com.br/cafe-expresso-em-capsula-india-lor-52g-10-unidades/p
2638,Café Torrado e Moído Extra Forte a Vácuo 3 Corações 250g,3 Corações,Mercearia,Disponivel,25.98,25.98,https://www.mambo.com.br/cafe-torrado-e-moido-extra-forte-a-vacuo-3-coracoes-250g/p
2640,Café Torrado e Moído Extra Forte a Vácuo Melitta 500g,Melitta,Mercearia,Disponivel,31.99,31.99,https://www.mambo.com.br/cafe-torrado-e-moido-extra-forte-a-vacuo-melitta-500g/p
2641,Café Torrado e Moído Extra Forte a Vácuo Pilão 500g,Pilão,Mercearia,Disponivel,43.49,43.49,https://www.mambo.com.br/cafe-torrado-e-moido-extra-forte-a-vacuo-pilao-500g/p
2643,Café Torrado e Moído Extraforte 3 Corações Pacote 250g,3 Corações,Mercearia,Disponivel,25.49,25.49,https://www.mambo.com.br/cafe-torrado-e-moido-extraforte-3-coracoes-pacote-250g/p
2644,Café Torrado e Moído Extra Forte 3 Corações 500g,3 Corações,Mercearia,Disponivel,27.99,27.99,https://www.mambo.com.br/cafe-torrado-e-moido-extra-forte-3-coracoes-500g/p
2647,Café Torrado e Moído Extra Forte Floresta 500g,Cafe Floresta,Mercearia,Disponivel,34.98,34.98,https://www.mambo.com.br/cafe-extra-forte-almofada-floresta-500g/p
2648,Café Torrado e Moído Extra Forte Café Pelé 500g,Café Pelé,Mercearia,Disponivel,36.98,36.98,https://www.mambo.com.br/cafe-torrado-e-moido-extra-forte-cafe-pele-500g/p
2649,Café Torrado e Moído Extra Forte Pilão 500g,Pilão,Mercearia,Disponivel,43.49,43.49,https://www.mambo.com.br/cafe-torrado-e-moido-extra-forte-pilao-500g/p
2650,Café Torrado e Moído Extra Forte Aviação 500g,Aviação,Mercearia,Disponivel,54.98,54.98,https://www.mambo.com.br/cafe-extra-forte-aviacao-500g/p
2654,Cápsula de Café Filtrado Clássico Drip Coffee Orfeu 100g com 10 Unidades,Orfeu,Mercearia,Disponivel,40.49,40.49,https://www.mambo.com.br/cafe-filtrado-classico-drip-coffee-orfeu-100g-10-capsulas/p
2655,Cápsula de Café Filtrado Tradicional Tres 3 Corações 80g com 10 Unidades,3 Corações,Mercearia,Disponivel,17.98,17.98,https://www.mambo.com.br/capsula-de-cafe-filtrado-tradicional-tres-3-coracoes-80g-com-10-unidades/p
2657,Cápsula de Café Filtrado Intenso Drip Coffee Orfeu 100g com 10 Unidades,Orfeu,Mercearia,Disponivel,40.49,40.49,https://www.mambo.com.br/cafe-filtrado-intenso-drip-coffee-orfeu-100g-10-capsulas/p
2659,Café Torrado e Moído Gold Equilibrado Nescafé 250g,Nescafé,Mercearia,Disponivel,38.98,38.98,https://www.mambo.com.br/cafe-gold-equilibrado-nescafe-250g/p
2663,Café Torrado e Moído Gourmet Cerrado Mineiro 3 Corações 250g,3 Corações,Mercearia,Disponivel,25.99,25.99,https://www.mambo.com.br/cafe-torrado-e-moido-gourmet-cerrado-mineiro-3-coracoes-250g/p
2665,Café em Grãos Gourmet Toledo 500g,Café Toledo,Mercearia,Disponivel,65.99,65.99,https://www.mambo.com.br/cafe-gourmet-em-grao-toledo-500g/p
2666,Café em Grãos Gourmet Santa Mônica 250g,Santa Mônica,Mercearia,Disponivel,43.49,43.49,https://www.mambo.com.br/cafe-gourmet-graos-santa-monica-250g/p
2667,Café Torrado e Moído Gourmet Mogiana Paulista 3 Corações 250g,3 Corações,Mercearia,Disponivel,25.99,25.99,https://www.mambo.com.br/cafe-torrado-e-moido-gourmet-mogiana-paulista-3-coracoes-250g/p
2669,Café Torrado e Moído Gourmet Regiões Brasileiras Cerrado Melitta 250g,Melitta,Mercearia,Disponivel,24.99,24.99,https://www.mambo.com.br/cafe-gourmet-regioes-brasileiras-cerrado-melitta-250g/p
2670,Cápsula de Café Gourmet Santa Mônica 50g com 12 Unidades,Santa Mônica,Mercearia,Disponivel,31.98,31.98,https://www.mambo.com.br/cafe-gourmet-santa-monica-50g-com-12-capsulas/p
2671,Café Torrado e Moído Gourmet Santa Mônica 250g,Santa Mônica,Mercearia,Disponivel,43.98,43.98,https://www.mambo.com.br/cafe-gourmet-torrado-e-moido-santa-monica-250g/p
2677,Café Torrado e Moído Intenso a Vácuo Pilão 500g,Pilão,Mercearia,Disponivel,43.49,43.49,https://www.mambo.com.br/cafe-torrado-e-moido-intenso-a-vacuo-pilao-500g/p
