SKU,Titulo,Fabricante,Categoria,Disponibilidade,Preco,Preço Oferta,URL
20026827,Cápsulas de Café Illy Descafeinado 18 Unidades,Illy,Café,Disponivel,71.29,71.29,https://marche.com.br/collections/mercearia/products/capsulas-de-cafe-illy-descafeinado-18-unidades?store_id=66677604431
20060012,Café L'or Torrado e Moído Equilibrado Torras Gourmet Sachê 250g,Lor,Café,Disponivel,30.49,30.49,https://marche.com.br/collections/mercearia/products/cafe-lor-eliquilibrado-torrado-moido-250g?store_id=66677604431
20055865,Cápsula de Café ORFEU Intenso Dolce Gusto 90g,Orfeu,Café,Disponivel,32.49,32.49,https://marche.com.br/collections/mercearia/products/capsula-de-cafe-orfeu-intenso-dolce-gusto-90g?store_id=66677604431
20031287,Café em Cápsula L'or Torrado e Moído Lungo Espresso 52g 10 Unidades,Lor,Café,Disponivel,30.99,30.99,https://marche.com.br/collections/mercearia/products/capsulas-cafe-lor-estremo-10-unidades?store_id=66677604431
20063958,Cápsulas de Café Baobá Especial Intenso 10 Unidades,Baobá,Café,Disponivel,35.69,35.69,https://marche.com.br/collections/mercearia/products/capsulas-de-cafe-baoba-especial-intenso-10-unidades?store_id=66677604431
20078211,Cápsulas de Café Orfeu Nespresso Catucaí 10 Unidades,St. Marche,Café,Disponivel,29.99,29.99,https://marche.com.br/collections/mercearia/products/capsulas-de-cafe-orfeu-nespresso-catucai-10-unidades?store_id=66677604431
20063957,Cápsulas de Café Baobá Especial Clássico 10 Unidades,Baobá,Café,Disponivel,35.69,35.69,https://marche.com.br/collections/mercearia/products/capsulas-de-cafe-baoba-especial-classico-10-unidades?store_id=66677604431
20075803,Café 3 Corações Torrado e Moído Rituais Frutas Vermelhas 250g,3 Corações,Café,Disponivel,40.99,40.99,https://marche.com.br/collections/mercearia/products/cafe-3-coracoes-torrado-e-moido-rituais-frutas-vermelhas-250g?store_id=66677604431
20078208,Cápsulas de Café Orfeu Nespresso Forte 20 Unidades,St. Marche,Café,Disponivel,53.9,53.9,https://marche.com.br/collections/mercearia/products/capsulas-de-cafe-orfeu-nespresso-forte-20-unidades?store_id=66677604431
20078165,Cápsulas de Café Nescafé Classic Creamer Com 10 Unidades,St. Marche,Café,Disponivel,29.59,29.59,https://marche.com.br/collections/mercearia/products/capsulas-de-cafe-nescafe-classic-creamer-com-10-unidades?store_id=66677604431
20073925,Café Tenor Bravo Café Torrado em Grãos 500g,Bravo Café,Café,Disponivel,47.9,47.9,https://marche.com.br/collections/mercearia/products/cafe-tenor-bravo-cafe-torrado-em-graos-500g?store_id=66677604431
20031444,Café em Cápsula Pilão Torrado e Moído Lungo Intenso 52g 10 Unidades,Pilão,Café,Disponivel,24.99,24.99,https://marche.com.br/collections/mercearia/products/cafe-espresso-pilao-capsulas-de-aluminio-lungo-08-com-10-unidades?store_id=66677604431
20062439,Café em Cápsula L'or Espresso Baunilha Caixa 52g 10 Unidades,Lor,Café,Disponivel,30.99,30.99,https://marche.com.br/collections/mercearia/products/capsula-de-cafe-lor-espresso-vanilla-com-10-unidades?store_id=66677604431
20078066,Café Solúvel L'or Último 84g,St. Marche,Café,Disponivel,30.99,30.99,https://marche.com.br/collections/mercearia/products/cafe-soluvel-lor-ultimo-84g?store_id=66677604431
20063558,Café 3 Corações Portinari Florais 250g,3 Corações,Café,Disponivel,36.98,36.98,https://marche.com.br/collections/mercearia/products/cafe-3-coracoes-portinari-florais-250g?store_id=66677604431
20073896,"Cappuccino Lor Baunilha Sachê 20,3g",Lor,Café,Disponivel,2.99,2.99,https://marche.com.br/collections/mercearia/products/cappuccino-lor-baunilha-8-unidades-162-4g?store_id=66677604431
20078064,Café Solúvel L'or Último Sachê 84g,St. Marche,Café,Disponivel,13.9,13.9,https://marche.com.br/collections/mercearia/products/cafe-soluvel-lor-ultimo-sache-84g?store_id=66677604431
20064856,Cápsula Café Baggio Dolce Gusto Chocolate Avelã 85g,Baggio,Café,Disponivel,25.89,25.89,https://marche.com.br/collections/mercearia/products/capsula-cafe-baggio-dolce-gusto-chocolate-avela-85g?store_id=66677604431
20078060,Cápsulas de Café L'or Arábica Avelã 10 Unidades,St. Marche,Café,Disponivel,30.99,30.99,https://marche.com.br/collections/mercearia/products/capsulas-de-cafe-lor-arabica-avela-10-unidades?store_id=66677604431
20044349,Café Torrado e Moído Abre Fecha Forte e Encorpado 252º Graus PILÃO 500g,Pilão,Café,Disponivel,36.99,36.99,https://marche.com.br/collections/mercearia/products/cafe-torrado-e-moido-abre-fecha-forte-e-encorpado-252%C2%BA-graus-pilao-500g?store_id=66677604431
20031442,Café em Cápsulas Pilão Torrado e moído Tradicional 52g 10 Unidades,Pilão,Café,Disponivel,24.99,24.99,https://marche.com.br/collections/mercearia/products/capsulas-de-aluminio-espresso-7-pilao-52g?store_id=66677604431
20065847,Café Casa Brasil Gourmet Moído 250g,Casa Brasil,Café,Disponivel,33.99,33.99,https://marche.com.br/collections/mercearia/products/cafe-casa-brasil-gourmet-moido-250g?store_id=66677604431
20023766,Cápsulas de Café ORFEU Orgânico com 10 Unidades 50g,Orfeu,Café,Disponivel,36.99,36.99,https://marche.com.br/collections/mercearia/products/capsulas-de-cafe-orfeu-organico-com-10-unidades-50g?store_id=66677604431
20064855,Cápsula Café Baggio Dolce Gusto Chocolate Trufado 85g,Baggio,Café,Disponivel,25.89,25.89,https://marche.com.br/collections/mercearia/products/capsula-cafe-baggio-dolce-gusto-chocolate-trufado-85g?store_id=66677604431
20063953,Café Baobá Especial Intenso Grãos 250g,Baobá,Café,Disponivel,50.39,50.39,https://marche.com.br/collections/mercearia/products/cafe-baoba-especial-intenso-graos-250g?store_id=66677604431
20044197,Cápsula Café BRAVO Maestro Com 10 Unidades 50g,Bravo Café,Café,Disponivel,21.9,21.9,https://marche.com.br/collections/mercearia/products/capsula-cafe-bravo-maestro-com-10-unidades-50g?store_id=66677604431
20071843,Cápsulas de Café Lor Espresso de Chocolate com 10 Unidades 52g,Lor,Café,Disponivel,30.99,30.99,https://marche.com.br/collections/mercearia/products/capsulas-de-cafe-lor-espresso-de-chocolate-com-10-unidades-52g?store_id=66677604431
20075804,Café 3 Corações Torrado e Moído Rituais Chocolate 250g,3 Corações,Café,Disponivel,40.99,40.99,https://marche.com.br/collections/mercearia/products/cafe-3-coracoes-torrado-e-moido-rituais-chocolate-250g?store_id=66677604431
20008169,Café Solúvel NESCAFÉ Tradição Forte 100g,Nescafé,Café,Disponivel,33.99,33.99,https://marche.com.br/collections/mercearia/products/cafe-soluvel-nescafe-tradicao-forte-100g?store_id=66677604431
