Fabricante,Mambo,St Marche,www.paodeacucar.com
3 Chá,0,0,2
3 Corações,85,62,39
Astro Cafe,0,0,5
Aviação,2,0,0
Baggio,18,14,17
Baobá,0,8,0
Bauducco,1,0,0
Bialetti,2,0,0
Brasileiro,1,0,0
Bravo,0,0,1
Bravo Cafe,0,0,4
Bravo Café,9,9,0
C Annata,0,0,1
Caboclo,1,0,3
Cafe Floresta,2,0,0
Cafe Iguacu,1,0,0
Caffè Corsini,9,0,0
Café Brasileiro,6,0,3
Café Do Ponto,0,3,0
Café Fazenda Pessegueiro,0,5,0
Café Pelé,1,0,0
Café Toledo,4,0,0
Café União Pouch 250g,0,0,2
Café do Centro,0,0,2
Café do Ponto,3,1,3
Camil,1,0,0
Carraro,4,0,0
Casa Brasil,0,5,0
Cia Organica,4,0,0
Coffee ++,29,0,0
Constantino,0,0,5
Delta Q,6,0,0
Dolce Gusto,0,11,0
Embafreezer,0,0,1
Evolutto,2,0,0
Floresta,4,0,0
Fort,1,0,0
Genérico,0,0,1
Gold,3,0,0
Havanna,1,1,0
Iguaçu,4,0,0
Illy,15,8,13
Italle,9,0,0
Ituano,3,0,0
Juan Valdez,7,3,5
L'OR,0,0,25
L'Or,0,0,7
Lor,36,28,0
Luvizotto,3,0,0
Melitta,24,2,4
Moderato,0,0,1
Native,2,0,5
Nescafé,56,12,20
Nescafé Dolce Gusto,0,0,28
Nescafé Gold,0,0,7
Nestlé,6,0,0
ORFEU,0,0,5
Orfeu,33,10,18
Pilão,30,21,23
Premiado,0,0,1
Prima Qualita,2,0,0
Prima Qualitá,0,0,2
QUALITA,0,0,1
Qualitá,0,0,22
Qualitá Exclusive,0,0,3
Santa Monica,4,0,13
Santa Mônica,6,0,0
St. Marche,0,61,0
Starbucks,7,11,8
Taeq,0,0,1
Tres,0,1,0
Tres Coracoes,0,0,1
Três,0,0,3
União,9,3,13
Villa Piva,0,3,0
do Ponto,0,0,1
pa,0,0,30
