Fabricante,mean,min,max,count
Italle,15.878888888888888,13.99,18.99,9
Café União Pouch 250g,16.99,16.99,16.99,2
Embafreezer,19.98,19.98,19.98,1
Floresta,19.98,19.98,19.98,4
do Ponto,19.99,19.99,19.99,1
Iguaçu,20.84,8.69,32.99,4
Bauducco,21.9,21.9,21.9,1
Havanna,22.439999999999998,17.98,26.9,2
Qualitá Exclusive,22.62333333333333,13.49,32.39,3
Genérico,22.99,22.99,22.99,1
Bravo Cafe,23.786666666666665,7.98,39.39,3
Qualitá,24.12181818181818,5.89,38.99,22
Café Brasileiro,24.856666666666666,7.79,28.99,9
Astro Cafe,24.89,9.49,33.99,5
Carraro,24.98,24.98,24.98,4
Nescafé,25.22647727272727,7.91,45.98,88
Gold,25.319999999999997,14.49,46.98,3
L'Or,25.79,8.44,38.99,7
Camil,25.9,25.9,25.9,1
União,25.97,16.99,36.99,24
Tres Coracoes,25.99,25.99,25.99,1
Nescafé Gold,26.89142857142857,11.59,35.19,7
Tres,26.9,26.9,26.9,1
L'OR,26.982799999999997,5.34,59.9,25
Três,26.99,26.99,26.99,3
Dolce Gusto,27.626363636363635,25.99,31.99,11
Cafe Iguacu,27.99,27.99,27.99,1
QUALITA,28.39,28.39,28.39,1
Delta Q,28.49,28.49,28.49,6
Nescafé Dolce Gusto,28.677407407407404,9.99,85.9,27
3 Corações,28.736864864864863,2.99,163.49,185
Bravo Café,28.904444444444444,21.9,47.9,18
Fort,28.99,28.99,28.99,1
Brasileiro,28.99,28.99,28.99,1
Melitta,29.838,10.98,80.98,30
Lor,29.8428125,2.99,88.49,64
pa,30.476206896551723,9.99,89.9,29
Nestlé,30.871666666666666,17.9,52.98,6
Native,30.985,17.99,45.99,4
C Annata,30.99,30.99,30.99,1
Baggio,33.214285714285715,24.99,46.49,49
Café do Centro,33.99,33.99,33.99,2
Cafe Floresta,34.98,34.98,34.98,2
Premiado,34.99,34.99,34.99,1
ORFEU,35.010000000000005,3.09,46.99,5
Pilão,35.058611111111105,9.59,153.98,72
Caboclo,35.2375,34.99,35.98,4
Coffee ++,36.90379310344828,22.9,154.98,29
Café Pelé,36.98,36.98,36.98,1
Illy,37.40352941176471,5.89,72.49,34
Prima Qualitá,38.74,27.49,49.99,2
Bravo,38.99,38.99,38.99,1
Orfeu,39.376557377049174,17.99,65.49,61
St. Marche,39.634918032786885,2.99,107.99,61
Moderato,39.99,39.99,39.99,1
Taeq,39.99,39.99,39.99,1
3 Chá,39.99,39.99,39.99,2
Villa Piva,40.69,38.69,43.19,3
Constantino,41.536,16.9,59.9,5
Santa Mônica,41.89833333333333,31.98,55.98,6
Santa Monica,42.351176470588236,12.24,159.98,17
Café Fazenda Pessegueiro,43.57,32.99,66.09,5
Casa Brasil,44.334,33.99,69.8,5
Baobá,44.839999999999996,35.69,50.39,8
Starbucks,45.19423076923077,3.09,127.49,26
Café Toledo,46.74,33.99,65.99,4
Café Do Ponto,47.99,47.99,47.99,3
Cia Organica,49.1075,47.49,51.98,4
Bialetti,49.235,48.98,49.49,2
Caffè Corsini,53.93,38.49,68.98,9
Aviação,54.98,54.98,54.98,2
Juan Valdez,58.903571428571425,9.99,103.98,14
Café do Ponto,59.957142857142856,28.59,165.29,7
Evolutto,84.97999999999999,36.98,132.98,2
Prima Qualita,85.98,70.98,100.98,2
Ituano,87.98,27.98,119.98,3
Luvizotto,110.14999999999999,36.98,194.98,3
